exchange_name_original,exchange_name_new
argenbtc,ArgenBTC
buenbit,Buenbit
ripio,Ripio
ripioexchange,Ripio Exchange
satoshitango,Satoshitango
cryptomkt,Cryptomkt
decrypto,Decrypto
latamex,Latamex
letsbit,Letsbit
binancep2p,Binance P2P
fiwind,Fiwind
lemoncash,Lemon Cash
okexp2p,Okex P2P
bitmonedero,Bit Monedero
paxfulp2p,Paxful P2P
belo,Belo
huobip2p,Huobi P2P
tiendacrypto,Tiendacrypto
bybitp2p,Bybit P2P
kucoinp2p,Kucoin P2P
saldo,Saldo
kriptonmarket,Kripton Market
trubitp2p,Trubit P2P
calypso,Calypso
bitgetp2p,Bitget P2P
pluscrypto,Pluscrypto
bybit,Bybit
eluter,Eluter
binance,Binance
paydecep2p,Paydece P2P
eldoradop2p,El Dorado P2P
trubit,Trubit
bingxp2p,Bingx P2P
bitsoalpha,Bitso Alpha
lemoncashp2p,Lemon Cash P2P
cocoscrypto,Cocos Crypto
